ror_id,display_name,acronyms,alt_names,types,city,status,established,created,modified,isni,fundref,wikidata_id,website,parents,children,related,predecessors,successors
0387jng26,Max Planck Institute for Human Cognitive and Brain Sciences,,Max-Planck-Institut für Kognitions- und Neurowissenschaften,facility; funder,Leipzig,active,2004,2018-11-14,2024-12-11,0000 0001 0041 5028,501100007766,Q257792,http://www.cbs.mpg.de/en,01hhn8329,,,,
00ez2he07,Max Planck Institute for Mathematics in the Sciences,MPI-MIS,Max-Planck-Institut für Mathematik in den Naturwissenschaften,facility; funder,Leipzig,active,1996,2018-11-14,2024-12-11,0000 0004 0491 7940,501100013296,Q1912085,http://www.mis.mpg.de/index.html,01hhn8329,,,,
01bf9rw71,Max Planck Institute for the Physics of Complex Systems,,Max-Planck-Institut für Physik Komplexer Systeme,facility; funder,Dresden,active,,2018-11-14,2024-12-11,0000 0001 2154 3117,501100007767,Q6795124,https://www.pks.mpg.de/institute/,01hhn8329,05hrn3e05,,,
05b8d3w18,Max Planck Institute of Molecular Cell Biology and Genetics,MPI-CBG,Max-Planck-Institut für Molekulare Zellbiologie und Genetik,facility,Dresden,active,1998,2018-11-14,2024-12-11,0000 0001 2113 4567,,Q317361,http://www.mpi-cbg.de/,01hhn8329,05hrn3e05,,,
02nxnzz65,Meteorologie Consult (Germany),,,company,Königstein,active,1976,2018-11-14,2024-12-11,,,Q30285085,http://www.metcon-us.com/,,,,,
03ajfdb10,Meyer Burger Technology (Germany),,,company,Hohenstein-Ernstthal,active,1999,2018-11-14,2024-12-11,,,,http://www.meyerburger.com/,04j539t95,,,,
03fry2j13,Museum für Naturkunde Chemnitz,,,archive,Chemnitz,active,2004,2018-11-14,2024-12-11,0000 0004 9549 2852,,,http://www.naturkundemuseum-chemnitz.de/en/startseite.html,,,,,
028070c57,NaMLab (Germany),,,company,Dresden,active,2006,2018-11-14,2025-04-28,0000 0004 4902 0598,,Q47462771,http://www.namlab.de/home?set_language=en&cl=en,042aqky30,,,,
01zy07c70,Nationales Centrum für Tumorerkrankungen Dresden,,NCT Dresden; National Center for Tumor Diseases Partner Site Dresden,healthcare,Dresden,active,,2023-04-27,2025-04-28,0000 0004 8003 5480,,,https://www.nct-dresden.de,04cdgtt98; 04za5zm41; 042aqky30; 01zy2cs03,,,,
02jskg402,Naturalienkabinett Waldenburg,,,archive,Waldenburg,active,1840,2019-11-07,2024-12-11,,,Q1582567,http://www.museum-waldenburg.de/,,,,,
00nc2d154,Nestlé (Germany),,,company,Markranstädt,active,1866,2018-11-14,2024-12-11,0000 0004 0580 3769,,Q50038441,https://www.nestle.de/,01v5xwf23,,,,
05ch34p88,Neurologisches Rehabilitationszentrum Leipzig,NRZ,NRZ Leipzig,healthcare,Bennewitz,active,1997,2018-11-14,2024-12-11,,,,http://www.nrz-leipzig.de/index.php?id=670,,,,,
029tvtf63,Nuvo Pharmaceuticals (Germany),,,company,Leipzig,active,1983,2018-11-14,2024-12-11,,,Q30269177,http://www.nuvopharmaceuticals.com/,00qe6gb33,,,,
03aysbj82,OncoRay,,OncoRay – Nationales Zentrum für Strahlenforschung in der Onkologie,healthcare,Dresden,active,,2018-11-14,2024-12-11,,,,http://www.oncoray.de/,,,,,
05090cn78,Onkozentrum Dresden,,,healthcare,Dresden,active,,2018-11-14,2024-12-11,,,,http://www.onkozentrum.de/,,,,,
01zvnqb17,Organic Electronics Saxony (Germany),OES,,company,Dresden,active,2008,2018-11-14,2024-12-11,,,Q21040689,https://oes-net.de/en/home/,,,,,
01ptm9403,Palucca Hochschule für Tanz Dresden,,,education,Dresden,active,1925,2018-11-14,2024-12-11,0000 0004 0524 4661,,,http://www.palucca.eu/en.html,,,,,
020268t49,Papiertechnische Stiftung,PTS,,nonprofit,Heidenau,active,1951,2018-11-14,2024-12-11,0000 0001 0682 2580,,Q2050753,http://www.ptspaper.com/,,,,,
05ke5hb07,Paul Langerhans Institute Dresden,PLID,Paul Langerhans Institut Dresden,facility,Dresden,active,,2019-11-07,2025-04-28,,,,https://tu-dresden.de/med/mf/plid,00cfam450; 042aqky30; 04za5zm41,,,,
04zwys509,Petkus (Germany),,Röber Institut,company,Eilenburg,active,1852,2019-11-07,2024-12-11,,,Q15124612,http://www.petkus.de/,,,,,
04gpj3340,Poliklinik für Zahnerhaltung und Parodontologie,,,healthcare,Leipzig,active,,2018-11-14,2024-12-11,,,,http://zahnerhaltung.uniklinikum-leipzig.de/,028hv5492,,,,
020f8h126,Poliklinik für Zahnärztliche Prothetik und Werkstoffkunde,,,healthcare,Leipzig,active,,2018-11-14,2024-12-11,,,,http://prothetik.uniklinikum-leipzig.de/,028hv5492,,,,
02t5bjk31,Pulsotronic (Germany),,,company,Niederdorf,active,2001,2018-11-14,2024-12-11,,,Q30291556,https://www.pulsotronic.de/index.php?lang=en,,,,,
05nt5a548,Q-Cells (Germany),,,company,Thalheim,active,1999,2019-11-07,2024-12-11,0000 0004 5997 3923,,Q265176,https://www.q-cells.com/,,,,,
018723a84,Qpoint Composite (Germany),,,company,Dresden,active,2009,2018-11-14,2024-12-11,,,,http://www.qpoint-composite.de/Unternehmen/42l1/,,,,,
03m629g08,Roland Ernst Stiftung,RES,,nonprofit; funder,Dresden,active,1996,2018-11-14,2024-12-11,0000 0005 0272 0658,501100019173,,http://www.roland-ernst-stiftung.de/,,,,,
05sa17k06,Roth and Rau (Germany),,,company,Hohenstein-Ernstthal,active,1991,2018-11-14,2024-12-11,,,Q2168566,http://www.roth-rau.de/,,,,,
049g3g548,Sana Kliniken Leipziger Land,,,healthcare,Borna,active,,2018-11-14,2024-12-11,,,,https://www.kliniken-leipziger-land.de/,,,,,
03zxjdk07,Saxon Academy of Sciences and Humanities in Leipzig,,Saxon Academy of Sciences in Leipzig; Sächsische Akademie der Wissenschaften zu Leipzig,facility; funder,Leipzig,active,1846,2018-11-14,2025-02-26,0000 0004 0385 9929,501100007428,Q451079,https://www.saw-leipzig.de,,,,,
04904ph59,Saxon Institute for Applied Biotechnology,SIAB,Cаксонский институт прикладной биотехнологии; Instituto Sajón de Biotecnología Aplicada anexo; Sächsisches Institut für Angewandte Biotechnologie,facility,Leipzig,active,1997,2018-11-14,2024-12-11,,,,http://www.siab-biotechnologie.de/en/,,,,,
